COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MED,T_S_MAX,T_S_MIN
AL008,2008-11-04T00:00:00,7.54,5.371791,4.341,95.7,85.60834,75.1,8.923367,0.4,60,27.4,8.104459,,0,0,1268,172,3,24,24,24,24,24,0,24,24,1,0,1380,0,0,,,
AL008,2008-11-05T00:00:00,9.47,6.152916,4.132,93,84.61668,75.3,10.89795,0,0,27.2,8.377582,,0,2,1249,188,3,24,24,24,24,24,0,24,24,1,0,1020,0,0,,,
AL008,2008-11-06T00:00:00,12.14,7.291375,4.006,93,79.23876,65.07,13.49322,0,0,26.61,6.576043,,0,4,1300,135,3,24,24,24,24,24,0,24,24,1,0,720,0,0,,,
AL008,2008-11-07T00:00:00,13.99,8.235876,3.938,93.9,71.64251,33.05,14.06665,0,0,19.96,3.108542,,2,5,1347,82,3,24,24,24,24,24,0,24,24,1,0,660,0,0,,,
AL008,2008-11-08T00:00:00,14.25,8.396791,5.062,97.6,81.90666,56.21,12.3303,0,0,9.6,1.300042,,64,258,994,120,3,24,24,24,24,24,0,24,24,1,0,720,0,0,,,
AL008,2008-11-09T00:00:00,14.17,7.997332,2.673,97.6,85.54751,60.68,13.4627,0.1,60,9.6,0.984375,,67,450,833,90,3,24,24,24,24,24,0,24,24,1,0,720,0,0,,,
AL008,2008-11-10T00:00:00,14.52,7.333791,1.273,99.4,83.08708,47.62,13.60779,0.3,180,12.14,1.133125,,49,485,862,39,3,24,24,24,24,24,0,24,24,1,0,780,0,0,,,
AL008,2008-11-11T00:00:00,15.18,8.755668,3.209,97.4,79.83707,50.35,9.074729,0.2,120,15.27,1.372083,,64,51,1216,105,3,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
AL008,2008-11-12T00:00:00,13.4,8.549375,4.526,93.4,73.71251,48.04,13.06091,0,0,22.9,4.588542,,1,4,1083,351,3,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
AL008,2008-11-13T00:00:00,11.14,6.194876,2.472,84.8,65.15917,45.95,13.53693,0,0,28.77,7.160916,,2,9,970,456,3,24,24,24,24,24,0,24,24,1,0,960,0,0,,,
AL008,2008-11-14T00:00:00,11.32,4.640707,0.402,83.3,66.49499,23.73,13.36146,0,0,24.66,4.203917,,24,108,1117,189,3,24,24,24,24,24,0,24,24,1,0,1140,0,0,,,
AL008,2008-11-15T00:00:00,12.58,4.530292,-2.4,86.3,61.14542,24.84,13.05908,0,0,13.9,1.066917,,242,221,870,101,3,24,24,24,24,24,0,24,24,1,380,900,0,0,,,
AL008,2008-11-16T00:00:00,13.65,5.593292,-0.596,88.7,69.84042,37.97,12.88639,0,0,9.4,0.8013751,,166,318,883,68,3,24,24,24,24,24,0,24,24,1,60,900,0,0,,,
AL008,2008-11-17T00:00:00,15.97,7.333334,-0.465,88.7,58.47417,28.67,13.09975,0,0,5.294,0.68725,,191,146,1014,88,3,24,24,24,24,24,0,24,24,1,20,780,0,0,,,
AL008,2008-11-18T00:00:00,14.45,8.303626,2.267,78,59.10373,32.24,12.40899,0,0,16.44,2.757541,,50,47,1208,136,3,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
AL008,2008-11-19T00:00:00,9.67,6.116751,1.002,95.3,79.15166,64.5,6.808936,0.3,60,15.47,2.137458,,717,203,426,92,1,24,24,24,24,24,0,24,24,1,0,840,0,0,,,
AL008,2008-11-20T00:00:00,7.54,6.041998,3.337,97.4,91.375,84.2,3.177054,0.3,60,16.44,2.484792,,1082,222,89,45,1,24,24,24,24,24,0,24,24,1,0,1200,0,0,,,
AL008,2008-11-21T00:00:00,14.45,8.532958,5.397,98.6,82.19833,54.14,11.02829,0,0,10.38,0.9758332,,492,235,586,122,3,24,24,24,24,24,0,24,24,1,0,780,0,0,,,
AL008,2008-11-22T00:00:00,14.98,8.632708,4.274,86,73.86042,51.89,11.98224,0,0,21.92,3.458291,,100,54,1140,145,3,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
AL008,2008-11-23T00:00:00,12.86,8.104834,3.338,91.4,73.78666,51.18,12.19089,0,0,24.46,2.546292,,33,47,997,355,3,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
AL008,2008-11-24T00:00:00,11.34,6.773625,4.204,90.4,75.08958,47.3,11.84568,1.4,240,53.02,21.42792,,0,2,1085,354,3,24,24,24,24,24,0,24,24,1,0,960,0,0,,,
AL008,2008-11-25T00:00:00,7.34,3.391376,-0.529,93.9,71.45834,40.45,11.58433,0,0,29.74,5.735584,,73,96,747,513,3,24,24,24,24,24,0,24,24,1,50,1320,0,0,,,
AL008,2008-11-26T00:00:00,5.196,0.4827917,-4.2,99,76.34708,43.82,11.41042,1.7,360,18.2,2.926292,,812,66,427,133,1,24,24,24,24,24,0,24,24,1,560,1440,0,0,,,
AL008,2008-11-27T00:00:00,5.87,1.882125,0.007,99.5,84.93333,59.79,5.168952,5.8,720,22.9,2.374458,,486,228,388,335,1,24,24,24,24,24,0,24,24,1,0,1440,0,0,,,
AL008,2008-11-28T00:00:00,5.137,2.896542,0.603,88,73.67167,64.41,10.57037,0.4,180,47.94,18.46184,,0,0,1042,398,3,24,24,24,24,24,0,24,24,1,0,1440,0,0,,,
AL008,2008-11-29T00:00:00,5.205,3.350708,1.876,96.2,83.93374,69.61,8.704515,7.9,420,38.74,12.39404,,0,16,1312,112,3,24,24,24,24,24,0,24,24,1,0,1440,0,0,,,
AL008,2008-11-30T00:00:00,2.01,0.8391666,-0.067,98.7,93.7,79.4,4.420818,2.1,660,31.5,6.139168,,0,0,1265,174,3,24,24,24,24,24,0,24,24,1,10,1440,0,0,,,
AL008,2008-12-01T00:00:00,3.879,1.24925,-0.73,94,82.84084,64.03,10.85915,0.1,60,35.61,8.138125,,0,11,1098,331,3,24,24,24,24,24,0,24,24,1,100,1440,0,0,,,
AL008,2008-12-02T00:00:00,3.551,0.3285,-2.064,93.5,79.73624,56.74,3.714822,0,0,45.39,9.015544,,5,23,909,499,3,24,24,24,24,24,0,24,24,1,650,1440,0,0,,,
AL008,2008-12-03T00:00:00,2.278,1.105375,-0.395,96.1,84.52917,76,4.831207,0,0,40.11,13.44475,,0,2,1232,205,3,24,24,24,24,24,0,24,24,1,90,1440,0,0,,,
AL008,2008-12-04T00:00:00,7.09,4.262167,1.266,99,86.5625,73.9,7.213536,0,0,34.24,8.234876,,6,9,1188,236,3,24,24,24,24,24,0,24,24,1,0,1440,0,0,,,
AL008,2008-12-05T00:00:00,9.68,7.822167,5.142,94.8,91.57917,83.5,3.507754,0,0,45.78,16.95479,,0,1,1215,224,3,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
AL008,2008-12-06T00:00:00,10.8,8.440083,5.938,97.4,88.12082,76.5,9.646049,0,0,30.14,8.029335,,0,0,1321,119,3,24,24,24,24,24,0,24,24,1,0,180,0,0,,,
AL008,2008-12-07T00:00:00,11.94,7.633874,2.467,96.7,87.14666,69.24,7.013066,0,0,16.64,1.963458,,1,14,1329,95,3,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
AL008,2008-12-08T00:00:00,8.41,5.693042,1.742,98.5,96.93333,92.4,2.271229,16.2,840,0.6,0.6000001,,522,194,509,207,1,24,24,24,24,24,0,24,24,1,0,1080,0,0,,,
AL008,2008-12-09T00:00:00,10,5.8,3.943,97.2,90.05001,71,8.140179,0.2,120,13.31,1.028584,,250,131,903,150,3,24,24,24,24,24,0,24,24,1,0,1080,0,0,,,
AL008,2008-12-10T00:00:00,6.068,3.906418,-0.129,98.7,70.2575,44.15,10.94183,0.1,60,48.52,9.573833,,43,10,598,779,4,24,24,24,24,24,0,24,24,1,10,1440,0,0,,,
AL008,2008-12-11T00:00:00,4.675,1.024375,-1.93,86.6,70.06124,56.22,10.66203,0,0,34.24,10.37854,,0,13,1282,146,3,24,24,24,24,24,0,24,24,1,520,1440,0,0,,,
AL008,2008-12-12T00:00:00,4.409,1.164,-0.529,97.8,88.35834,78.4,5.651165,0.7,60,17.03,3.047749,,0,0,1356,83,3,24,24,24,24,24,0,24,24,1,450,1440,0,0,,,
AL008,2008-12-13T00:00:00,6.149,1.442917,-1.595,99.7,92.83334,75.6,5.67072,3.3,540,34.05,9.364083,,0,0,1320,119,3,24,24,24,24,24,0,24,24,1,570,1440,0,0,,,
AL008,2008-12-14T00:00:00,6.015,1.207167,-1.595,99.8,92.92084,80.8,4.559202,2.1,660,41.87,11.69546,,2,17,969,450,3,24,24,24,24,24,0,24,24,1,560,1440,0,0,,,
AL008,2008-12-15T00:00:00,0.409,-1.4525,-2.869,99.4,90.09583,70.8,5.590231,0.1,60,29.74,7.30275,,0,6,1309,125,3,24,24,24,24,24,0,24,24,1,1350,1440,0,0,,,
AL008,2008-12-16T00:00:00,2.881,0.301375,-2.534,93.2,85.075,75.1,8.368823,2.4,420,39.13,14.56125,,1,2,1080,355,3,24,24,24,24,24,0,24,24,1,580,1440,0,0,,,
AL008,2008-12-17T00:00:00,5.94,2.449292,0.208,95.8,83.54501,68.98,9.757573,1,240,37.76,12.09571,,0,6,1246,185,3,24,24,24,24,24,0,24,24,1,0,1440,0,0,,,
AL008,2008-12-18T00:00:00,7.61,4.247542,1.407,87.9,78.325,67.92,10.62383,0,0,33.66,8.069167,,0,4,1173,263,3,24,24,24,24,24,0,24,24,1,0,1260,0,0,,,
AL008,2008-12-19T00:00:00,13.38,5.205792,0.203,93,74.58582,38.11,10.83104,0,0,9.79,0.7728752,,69,323,955,92,3,24,24,24,24,24,0,24,24,1,0,1020,0,0,,,
AL008,2008-12-20T00:00:00,14.18,4.783041,-1.461,94,75.43208,35.86,10.76162,0.1,60,0.6,0.6000001,,253,135,971,79,3,24,24,24,24,24,0,24,24,1,310,960,0,0,,,
AL008,2008-12-21T00:00:00,18.02,6.9275,0.275,90.8,61.77874,22.68,11.04255,0,0,0.6,0.6000001,,97,245,1057,39,3,24,24,24,24,24,0,24,24,1,0,900,0,0,,,
AL008,2008-12-22T00:00:00,13.45,5.047374,-0.663,87.9,64.62125,28.41,11.09896,0,0,7.05,0.6272917,,443,146,806,44,3,24,24,24,24,24,0,24,24,1,90,960,0,0,,,
AL008,2008-12-23T00:00:00,12.47,3.879624,-2.064,93.7,68.52208,36.02,9.600494,0,0,6.664,0.6072085,,471,108,811,48,3,24,24,24,24,24,0,24,24,1,450,960,0,0,,,
AL008,2008-12-24T00:00:00,10.54,3.380916,-1.863,99,80.98666,49.94,10.33639,0,0,13.9,1.0635,,691,148,579,21,1,24,24,24,24,24,0,24,24,1,500,1140,0,0,,,
AL008,2008-12-25T00:00:00,9.68,3.616458,-2.402,99.6,78.36167,48.25,10.05682,0.1,60,21.53,4.023792,,196,82,1006,148,3,24,24,24,24,24,0,24,24,1,270,1080,0,0,,,
AL008,2008-12-26T00:00:00,8.07,3.740124,0.074,93.1,78.24959,54.28,10.78377,0,0,25.44,6.678377,,42,112,1199,83,3,24,24,24,24,24,0,24,24,1,0,1200,0,0,,,
AL008,2008-12-27T00:00:00,3.879,2.957791,-0.261,99.6,97.77084,92.6,0.8262432,0.2,120,16.44,1.962083,,1184,134,104,18,1,24,24,24,24,24,0,24,24,1,20,1440,0,0,,,
AL008,2008-12-28T00:00:00,5.273,3.749417,1.406,98.9,94.97919,90.8,2.349889,2.2,180,11.16,0.6622502,,1008,338,67,27,1,24,24,24,24,24,0,24,24,1,0,1440,0,0,,,
AL008,2008-12-29T00:00:00,9.2,5.937542,4.131,98.6,94.02082,81.6,3.952782,0.1,60,0.6,0.6000001,,118,443,628,242,3,24,24,24,24,24,0,24,24,1,0,1080,0,0,,,
AL008,2008-12-30T00:00:00,10.8,5.021625,-0.06,99.4,90.77833,66.09,10.29018,0.2,120,7.84,0.6110418,,449,402,474,115,3,24,24,24,24,24,0,24,24,1,10,1020,0,0,,,
AL008,2008-12-31T00:00:00,7.87,5.303417,2.602,98.9,94.74165,86.6,3.841772,0.1,60,12.73,0.6414168,,1054,44,303,35,1,24,24,24,24,24,0,24,24,1,0,1140,0,0,,,
AL011,2008-12-04T00:00:00,12.23,8.409636,5.174,80.5,68.84183,59.19,3.927178,0.1,60,24.75,4.462182,,6460,26370,4660,2100,2,11,11,11,11,11,11,11,11,0,0,180,0,0,6.875637,8.25,5.73
AL011,2008-12-05T00:00:00,17.69,11.70533,5.788,76.58,60.99583,47.3,9.618393,0,0,29.7,6.878958,,17610,38330,22620,7840,2,24,24,24,24,24,24,24,24,1,0,60,0,0,7.793209,11.79,5.056
AL011,2008-12-06T00:00:00,15.85,10.81896,6.325,90.5,70.93501,51.52,9.652417,0,0,19.35,3.561791,,16910,52510,13250,3730,2,24,24,24,24,24,24,24,24,1,0,0,0,0,8.642916,12.05,6.037
AL011,2008-12-07T00:00:00,12.8,8.578126,4.941,95.1,82.555,65.29,6.476226,0,0,12.15,2.788375,,41470,31450,10750,2730,1,24,24,24,24,24,24,24,24,1,0,300,0,0,8.438125,11.04,7.245
AL011,2008-12-08T00:00:00,9.83,7.71225,4.839,98.1,93.62917,82.5,2.127668,11.7,600,15.75,2.270833,,36340,22590,12200,15250,1,24,24,24,24,24,24,24,24,1,0,300,0,0,8.112083,9.43,6.681
AL011,2008-12-09T00:00:00,10.04,6.032084,1.805,98,88.70914,76.21,7.231805,0.3,180,18.9,4.155292,,40670,24750,9210,11640,1,24,24,24,24,24,24,24,24,1,0,1080,0,0,7.445875,9.77,5.325
AL011,2008-12-10T00:00:00,9.09,5.419418,2.383,93.4,58.73291,25.9,7.527078,0,0,52.2,10.51762,,13980,16020,43890,12460,3,24,24,24,24,24,24,24,24,1,0,1020,0,0,5.880125,7.123,3.476
AL011,2008-12-11T00:00:00,8.5,3.208292,-1.353,83.2,55.19084,34.44,10.72174,0,0,25.65,3.54975,,38800,22840,13600,11100,1,24,24,24,24,24,24,24,24,1,91,1200,0,0,4.207834,8.04,1.674
AL011,2008-12-12T00:00:00,8.1,2.81,-0.91,88.8,72.20959,49.4,6.76646,0,0,18.45,3.396417,,33830,34640,12300,5580,2,24,24,24,24,24,24,24,24,1,162,1260,0,0,3.963959,6.8,2.066
AL011,2008-12-13T00:00:00,6.477,3.066375,-2.097,97.9,78.785,56.34,5.723281,12.9,480,22.95,5.243458,,24380,43600,15800,2610,2,24,24,24,24,24,24,24,24,1,293,1440,0,0,3.638417,5.291,1.55
AL011,2008-12-14T00:00:00,8.29,3.894084,-1.086,98.2,73.96207,39.59,7.027675,1.4,240,32.85,9.061083,,9370,50040,23510,3460,2,24,24,24,24,24,24,24,24,1,87,1260,0,0,4.766583,6.798,3.553
AL011,2008-12-15T00:00:00,4.02,2.018458,-0.539,77.93,50.73709,40.28,9.362867,1,240,44.55,10.44533,,13190,20980,38650,13570,3,24,24,24,24,24,24,24,24,1,16,1440,0,0,3.563041,5,1.84
AL011,2008-12-16T00:00:00,7.556,4.365542,-0.335,55.02,48.48125,42.62,9.137798,0,0,48.15,11.80629,,6540,26870,43460,9530,3,24,24,24,24,24,24,24,24,1,7,1380,0,0,2.895917,5.612,1.155
AL011,2008-12-17T00:00:00,12.28,7.462708,1.912,58.93,42.18333,19.17,11.05096,0,0,42.3,7.622041,,12780,25800,35680,12130,3,24,24,24,24,24,24,24,24,1,0,600,0,0,4.183709,7.272,1.876
AL011,2008-12-18T00:00:00,12.48,6.849626,2.151,72.78,53.34625,32.6,10.40555,0,0,17.55,4.025583,,43080,34500,4140,4660,1,24,24,24,24,24,24,24,24,1,0,900,0,0,4.861125,8.73,2.558
AL011,2008-12-19T00:00:00,12.72,5.85225,1.338,80.9,60.17751,37.36,10.43913,0,0,11.7,2.1125,,63010,13280,6890,3200,1,24,24,24,24,24,24,24,24,1,0,960,0,0,4.721166,8.98,2.098
AL011,2008-12-20T00:00:00,14.29,6.607958,2.089,75.56,54.56667,29.54,10.5652,0,0,11.7,2.349208,,62710,11100,10520,2040,1,24,24,24,24,24,24,24,24,1,0,900,0,0,4.706876,9.02,2.044
AL011,2008-12-21T00:00:00,17.02,10.08742,4.738,47.93,34.73458,24.88,10.58383,0,0,11.25,3.497291,,57740,13840,7600,7180,1,24,24,24,24,24,24,24,24,1,0,240,0,0,5.469084,10.02,2.834
AL011,2008-12-22T00:00:00,16.23,9.416831,5.146,63.67,37.94249,17.39,10.76707,0,0,22.05,6.987375,,62660,270,560,22860,1,24,24,24,24,24,24,24,24,1,0,360,0,0,5.242708,9.01,2.82
AL011,2008-12-23T00:00:00,12.52,7.283917,1.739,63.39,48.67041,31.04,8.235788,0,0,18.45,4.883584,,60280,1390,1640,23040,1,24,24,24,24,24,24,24,24,1,0,780,0,0,4.892541,8.22,2.835
AL011,2008-12-24T00:00:00,11.43,6.375083,3.269,95.2,62.93708,40.08,8.776142,0,0,17.55,5.759668,,48440,1180,570,36170,1,24,24,24,24,24,24,24,24,1,0,1020,0,0,4.982749,7.821,2.846
AL011,2008-12-25T00:00:00,10,4.471209,0.314,92.5,78.88291,54.7,8.042706,0,0,13.5,3.612749,,42290,25800,9370,8920,1,24,24,24,24,24,24,24,24,1,0,1080,0,0,4.871084,8.15,3.065
AL011,2008-12-26T00:00:00,10.55,4.505125,-0.13,93.6,54.23292,30.23,10.62545,0,0,14.85,3.640167,,51260,25970,6000,3160,1,24,24,24,24,24,24,24,24,1,1,1020,0,0,3.820584,7.789,1.282
AL011,2008-12-27T00:00:00,7.329,3.332209,-1.38,96.8,90.13333,81.2,7.152873,0.1,60,19.8,5.850749,,42280,250,830,42980,4,24,24,24,24,24,24,24,24,1,214,1440,0,0,3.921625,6.388,1.578
AL011,2008-12-28T00:00:00,6.92,5.279,3.652,97.7,89.40833,83.1,3.615405,5.4,540,16.2,3.512125,,53490,230,150,32280,1,24,24,24,24,24,24,24,24,1,0,1440,0,0,5.538416,7.236,4.287
AL011,2008-12-29T00:00:00,9.46,6.518958,3.577,99,94.72916,84.6,3.465983,0,0,10.35,1.55825,,39050,16600,17400,13280,1,24,24,24,24,24,24,24,24,1,0,960,0,0,6.838917,8.49,5.837
AL011,2008-12-30T00:00:00,11.83,6.739208,2.219,98.7,82.965,63.16,10.30593,0,0,18,3.680542,,54790,330,3040,27860,1,24,24,24,24,24,24,24,24,1,0,840,0,0,6.421125,9.76,3.99
AL011,2008-12-31T00:00:00,10.55,6.737875,4.361,97,83.91042,66.38,4.477458,0,0,17.55,3.508291,,32890,11530,5680,36160,4,24,24,24,24,24,24,24,24,1,0,900,0,0,6.553209,8.57,5.357
CA001,2008-01-01T00:00:00,16.43,8.785753,3.122,93.8,84.29333,62.3,6.720026,0,0,19.65,4.750958,,325,83,614,389,3,24,24,24,24,24,0,24,24,1,0,660,0,0,,,
CA001,2008-01-02T00:00:00,14.91,12.19042,7.85,95.9,89.01666,82.4,2.67579,11.9,420,44.15,16.93833,,0,143,1287,10,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-01-03T00:00:00,13.85,10.92041,7.25,94.2,87.66251,72.3,3.060655,9.899999,780,52.65,13.834,,3,72,1231,130,3,24,24,24,24,24,0,24,24,1,0,0,0,2,,,
CA001,2008-01-04T00:00:00,12.1,8.554418,4.593,94.1,81.92083,67.59,9.964378,0,0,26.29,7.0825,,769,57,281,297,1,24,24,24,24,24,0,24,24,1,0,240,0,0,,,
CA001,2008-01-05T00:00:00,14.15,8.964626,3.59,91.6,81.85084,63.71,9.675036,0,0,12.34,3.913959,,509,170,251,435,1,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
CA001,2008-01-06T00:00:00,17.22,13.00667,9.91,93.6,84.46667,75.7,10.45867,0,0,27.99,10.80871,,982,42,133,226,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-01-07T00:00:00,15.49,12.1025,9.24,88.5,80.80418,71.1,10.47196,0,0,31.39,13.34371,,1401,1,0,15,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-01-08T00:00:00,12.18,9.174916,4.259,96.7,92.99167,85.6,2.619241,0,0,7.91,2.516625,,426,200,463,321,3,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-01-09T00:00:00,15.75,10.582,5.251,96.9,88.51667,71.6,8.563748,0.1,60,17.1,3.225667,,364,176,303,539,4,24,24,24,24,24,0,24,24,1,0,180,0,0,,,
CA001,2008-01-10T00:00:00,17.33,9.76946,2.988,97.3,86.19916,60.59,10.30947,0.1,60,15.91,2.86775,,326,188,434,448,4,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-01-11T00:00:00,15.51,10.48538,4.392,96.2,90.57084,80.9,4.074995,1.5,300,31.9,9.30875,,109,211,798,316,3,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-01-12T00:00:00,12.58,7.440375,2.253,91.5,79.00584,59.8,11.19508,0,0,24.75,7.851542,,926,46,192,185,1,24,24,24,24,24,0,24,24,1,0,780,0,0,,,
CA001,2008-01-13T00:00:00,15.84,8.860208,0.796,93.7,80.67542,59.41,8.474069,0,0,31.9,11.56771,,144,108,909,256,3,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
CA001,2008-01-14T00:00:00,15.09,12.13167,7.99,94.6,84.76499,63.1,8.927888,3.6,480,28.67,7.798127,,187,103,719,397,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-01-15T00:00:00,15.17,9.68254,3.858,96.3,87.0279,64.71,9.962352,0.1,60,16.93,4.764,,167,104,872,272,3,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-01-16T00:00:00,16.44,12.95084,9.17,95.3,83.8604,65.25,4.263948,2.4,360,32.75,9.735208,,17,90,906,421,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-01-17T00:00:00,14.89,9.606626,4.593,95.1,83.26541,64.33,11.29233,0.1,60,15.4,3.757875,,643,98,148,485,1,24,24,24,24,24,0,24,24,1,0,420,0,0,,,
CA001,2008-01-18T00:00:00,18.14,12.365,7.25,92.5,78.07668,63.99,11.87876,0,0,27.31,10.48133,,1061,50,133,138,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-01-19T00:00:00,20.6,12.00738,5.395,95.4,78.35458,50.52,11.87922,0.1,60,14.55,3.3045,,602,115,249,412,1,24,24,24,24,24,0,24,24,1,0,420,0,0,,,
CA001,2008-01-20T00:00:00,20.32,12.46421,5.388,92,76.30583,52.31,12.14129,0,0,12.34,3.200666,,605,126,249,399,1,24,24,24,24,24,0,24,24,1,0,240,0,0,,,
CA001,2008-01-21T00:00:00,19.39,11.91371,5.387,91.2,78.64417,54.79,11.57184,0,0,10.81,2.835125,,583,118,186,481,1,24,24,24,24,24,0,24,24,1,0,60,0,0,,,
CA001,2008-01-22T00:00:00,23,12.72358,4.518,93.3,76.83624,40.75,12.29796,0,0,24.24,6.388125,,653,123,360,262,1,24,24,24,24,24,0,24,24,1,0,180,0,0,,,
CA001,2008-01-23T00:00:00,21.66,12.07279,4.592,94.6,77.08459,45.42,11.97461,0.1,60,12.51,3.355709,,233,157,596,423,3,24,24,24,24,24,0,24,24,1,0,300,0,0,,,
CA001,2008-01-24T00:00:00,18.4,11.28662,5.729,91.1,73.3396,51.36,12.04409,0,0,13.02,3.938625,,720,95,200,353,1,24,24,24,24,24,0,24,24,1,0,300,0,0,,,
CA001,2008-01-25T00:00:00,18.4,10.60921,4.858,85.3,69.88209,45.9,10.81123,0,0,26.97,5.370999,,640,243,229,275,1,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-01-26T00:00:00,17,10.54712,5.262,88.3,72.50834,51.35,11.98494,0,0,15.57,3.719417,,587,126,252,420,1,24,24,24,24,24,0,24,24,1,0,360,0,0,,,
CA001,2008-01-27T00:00:00,17.6,10.042,2.654,92.5,71.97876,46.92,12.4934,0,0,12.34,3.494333,,401,123,496,388,3,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-01-28T00:00:00,16.6,9.725292,2.32,90.5,73.76334,53.47,12.63089,0,0,12.51,3.557625,,313,139,518,429,3,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
CA001,2008-01-29T00:00:00,17.2,9.591208,2.52,94.4,76.85874,50.33,12.6158,0,0,12.34,3.592042,,619,91,233,428,1,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
CA001,2008-01-30T00:00:00,18.8,9.657332,2.32,92.8,71.66792,43.26,12.70505,0,0,18.29,4.077125,,460,106,426,390,1,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
CA001,2008-01-31T00:00:00,18.8,10.20221,1.923,91.9,72.58625,47.54,12.96996,0,0,12.85,2.85025,,175,180,727,345,3,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
CA001,2008-02-01T00:00:00,15.3,9.112958,1.387,97.7,83.12542,59.68,8.141724,0.1,60,22.71,3.976708,,243,156,776,244,3,24,24,24,24,24,0,24,24,1,0,420,0,0,,,
CA001,2008-02-02T00:00:00,15.22,8.984375,1.451,97.2,79.05875,51.31,11.56144,0,0,15.91,3.645708,,213,241,384,574,4,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-02-03T00:00:00,17.16,10.49154,2.654,90.9,74.52709,51.05,11.32951,0.1,60,35.3,12.0145,,161,145,933,188,3,24,24,24,24,24,0,24,24,1,0,600,0,0,,,
CA001,2008-02-04T00:00:00,16.53,12.78292,7.9,95,80.41125,58.73,11.36728,1.7,120,29.69,5.707708,,513,45,472,366,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
CA001,2008-02-05T00:00:00,18.19,10.44096,2.119,96.3,77.18292,51.24,13.94264,0.1,60,11.66,3.356833,,414,102,437,450,4,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-02-06T00:00:00,20.33,11.57275,3.323,95.4,76.73291,52.94,14.00915,0,0,11.49,3.119541,,444,103,330,509,4,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-02-07T00:00:00,21.25,11.90821,5.328,86.7,65.80626,38.14,14.5676,0,0,24.58,5.7185,,808,233,244,125,1,24,24,24,24,24,0,24,24,1,0,420,0,0,,,
CA001,2008-02-08T00:00:00,21.59,12.23929,5.128,81.6,61.46875,38.76,14.75371,0,0,26.11,5.807793,,590,233,283,297,1,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
CA001,2008-02-09T00:00:00,19.87,11.60133,5.321,72.9,58.16333,38.35,14.89458,0,0,26.46,6.01475,,375,314,345,380,4,24,24,24,24,24,0,24,24,1,0,240,0,0,,,
CA001,2008-02-10T00:00:00,19.53,10.70642,4.66,75.2,60.42874,38.8,14.73775,0,0,29.35,5.790457,,692,330,170,209,1,24,24,24,24,24,0,24,24,1,0,480,0,0,,,
CA001,2008-02-11T00:00:00,18.1,10.95025,4.86,79.8,65.46958,45.13,11.16773,0,0,38.02,11.96346,,495,688,139,97,2,24,24,24,24,24,0,24,24,1,0,540,0,0,,,
CA001,2008-02-12T00:00:00,18.07,11.03508,5.12,84.5,66.13332,45.92,13.8572,0,0,35.64,7.891541,,663,406,170,163,1,24,24,24,24,24,0,24,24,1,0,360,0,0,,,
CA001,2008-02-13T00:00:00,18.8,11.52071,5.314,81.3,62.92917,42.88,13.92074,0,0,37.85,7.1285,,447,376,355,249,1,24,24,24,24,24,0,24,24,1,0,60,0,0,,,
CA001,2008-02-14T00:00:00,19.67,12.23425,5.12,85.8,65.18707,40.8,11.49294,0,0,32.92,7.190958,,563,375,238,232,1,24,24,24,24,24,0,24,24,1,0,120,0,0,,,
