COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MED,T_S_MAX,T_S_MIN
MA002,2008-04-08T00:00:00,17.69,13.91833,11.34,96.1,89.35001,81.7,3.520123,5.9,480,28.23,5.387125,,749,414,225,51,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-09T00:00:00,22.4,18.46042,15.58,84.7,78.02,59.98,8.118809,3.1,480,28.76,10.65917,,2,97,1186,153,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-10T00:00:00,21.93,17.73,12.86,88.8,72.27044,51.55,21.54477,1.6,240,35.06,10.17354,,132,69,1072,163,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-11T00:00:00,19.66,14.27792,9.34,78.8,52.56542,31.95,20.4454,0.4,240,26.13,5.941125,,339,47,188,863,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-12T00:00:00,21.92,13.33521,5.205,92.7,60.95375,29.61,23.54957,0.6,240,15.35,3.858457,,332,18,277,808,4,24,24,24,24,24,0,24,24,1,0,300,0,0,,,
MA002,2008-04-13T00:00:00,22.9,14.75125,6.68,88.5,57.97751,28.98,25.87102,0,0,15.62,4.237916,,324,42,191,879,4,24,24,24,24,24,0,24,24,1,0,60,0,0,,,
MA002,2008-04-14T00:00:00,23.9,14.775,6.747,93.4,67.30499,28.78,25.47797,0,0,15.09,4.276543,,338,451,203,446,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-15T00:00:00,22.06,14.37904,6.68,95,63.275,27.97,22.84253,0.1,60,19.82,3.346583,,161,656,25,599,2,24,24,24,24,24,0,24,24,1,0,60,0,0,,,
MA002,2008-04-16T00:00:00,20.19,13.34625,7.54,89.7,68.8871,41.5,13.58051,0,0,15.62,3.4245,,372,347,111,609,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-17T00:00:00,22.33,15.75417,10.94,93.5,69.46252,38.26,11.64959,1.9,360,22.71,5.1085,,166,99,640,534,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-18T00:00:00,22.12,17.31042,9.92,89.4,56.69125,31.8,26.22044,2,240,32.96,9.137375,,73,51,714,599,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-19T00:00:00,18.66,14.23875,8.53,88.1,77.88501,69.79,13.63629,1.8,360,30.86,9.944333,,234,139,948,122,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-20T00:00:00,18.96,13.49958,9.14,93.4,75.44709,51.27,12.27328,5.7,600,22.19,4.308875,,371,111,390,567,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-21T00:00:00,21.19,15.29792,8.27,92.6,61.37959,39.45,19.62895,0,0,24.03,5.344042,,245,163,203,823,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-22T00:00:00,24.3,16.00583,7.27,92.3,60.44041,29.24,27.98343,0,0,16.67,4.364542,,377,12,281,770,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-23T00:00:00,25.71,17.45751,9.47,88.4,61.04042,31.74,27.16038,0,0,16.41,4.095,,265,334,303,534,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-24T00:00:00,26.89,18.09125,8.8,94,60.27834,29.11,27.81777,0,0,15.35,3.26075,,273,450,44,674,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-25T00:00:00,26.5,17.96042,8.87,91.2,59.60625,28.92,28.37412,0,0,21.66,4.079459,,231,491,39,676,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-26T00:00:00,27.16,17.34125,8.54,91.7,58.26,24.8,29.06025,0,0,18.24,4.045792,,326,394,59,656,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-27T00:00:00,24.93,15.94375,7.27,90,61.965,31.96,28.91779,0,0,19.03,4.87025,,356,463,43,578,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-28T00:00:00,26.42,18.25709,7.94,91.4,54.47,27.32,22.11541,0,0,15.62,4.283,,272,265,116,786,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-29T00:00:00,26.29,20.04625,11.81,62.64,40.65376,26,28.34059,0,0,19.03,5.399334,,386,264,298,486,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-04-30T00:00:00,24.17,18.84,13.25,56.75,43.15999,31.01,29.1952,0,0,21.4,6.54375,,578,15,172,672,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-01T00:00:00,23.86,16.325,8.41,90.7,66.835,42.19,29.26414,0,0,20.08,5.286583,,328,600,95,417,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-02T00:00:00,24.98,17.16458,9.47,94.5,70.14416,32.01,27.86283,0,0,19.3,4.611292,,389,422,262,368,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-03T00:00:00,23.72,17.28958,10.74,89.6,66.38084,40.89,23.132,0,0,21.4,4.062833,,369,505,188,379,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-04T00:00:00,26.65,17.64125,8.94,90.7,64.37959,34.11,26.08982,0,0,18.77,4.423085,,446,374,100,518,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-05T00:00:00,26.57,18.19083,9.54,91.4,60.91917,27.28,26.04571,0,0,17.46,4.831916,,601,426,27,387,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-06T00:00:00,26.47,18.28208,10.34,88.6,67.29209,36.44,25.20737,0,0,19.82,4.939208,,421,444,177,397,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-07T00:00:00,26.43,18.79083,11.34,94.3,67.08749,36.69,25.46709,0,0,24.03,3.982125,,188,306,368,578,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-08T00:00:00,22.33,18.18833,14.94,94.7,74.28416,59.28,6.908317,1.2,120,11.67,1.889125,,166,371,597,305,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-09T00:00:00,23.73,18.5125,14.14,96.3,65.30042,29.4,18.79351,1.4,180,24.03,4.845041,,363,42,126,906,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-10T00:00:00,21.32,17.10042,12.87,91.3,51.94417,35.8,23.88077,1.6,120,23.76,7.101083,,237,4,232,962,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-11T00:00:00,24.57,18.43916,12.66,92,61.71083,37.79,24.5403,0.8000001,300,18.24,5.269,,554,148,113,620,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-12T00:00:00,26.18,18.745,11.81,94.6,68.97792,39.66,22.99126,0.1,60,21.14,4.362334,,184,5,374,877,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-13T00:00:00,27.42,19.38833,10.94,91.1,61.56166,31.03,23.09683,0.7,240,21.4,3.418416,,284,260,286,609,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-14T00:00:00,26.69,19.32459,12.07,91.2,58.66917,31.04,21.34683,0,0,18.51,3.928291,,284,75,427,652,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-15T00:00:00,25.5,19.82083,13.07,70.3,47.60041,29.75,20.68472,0,0,15.62,4.2675,,264,255,441,477,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-16T00:00:00,26.16,19.08542,12.13,81.9,59.55125,32.76,20.66683,1.1,60,16.41,3.933458,,499,127,328,483,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-17T00:00:00,26.89,19.76667,13.6,81.4,58.18708,35.08,22.25759,0.9,120,19.82,5.041042,,472,154,263,549,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-18T00:00:00,26.44,18.89041,12.41,79.3,54.06749,26.5,26.03825,0.6,120,23.24,6.405416,,221,20,558,639,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-19T00:00:00,24.31,18.58875,12.8,86.8,53.47166,29.23,19.61554,0,0,19.56,5.044583,,380,95,340,619,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-20T00:00:00,26.78,19.38959,12.35,74.3,55.97874,30.7,23.15965,0,0,18.77,4.591624,,531,49,249,610,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-21T00:00:00,28.7,21.16541,12.48,86.7,56.4054,33.79,24.33149,0,0,16.67,4.8365,,226,30,317,859,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
MA002,2008-05-22T00:00:00,31.47,23.56958,15,68.62,45.95791,23.47,30.47057,0,0,17.98,5.419918,,530,26,251,627,4,24,24,24,24,24,0,24,24,1,0,0,230,0,,,
